Branch_ID,City_Type,Staff_Count,Branch_Area_sqft,Marketing_Spend,ATM_Count,Population_Density,Competitor_Branches,Average_Income,Monthly_Revenue
BR_1,Urban,37,1204,54980,12,26702,1,191950,504822
BR_2,Rural,5,1393,281057,1,8122,9,157673,105742
BR_3,Suburban,55,4749,94990,12,3795,9,167860,688981
BR_4,Suburban,9,4907,190632,14,12041,6,177379,131045
BR_5,Urban,17,4080,291698,4,22697,9,183201,289033
BR_6,Urban,23,3012,197059,9,10187,2,168784,318101
BR_7,Urban,16,2342,182057,7,6840,6,47303,201908
BR_8,Rural,52,1413,68167,2,12919,0,71515,743604
BR_9,Suburban,29,1668,267605,6,5726,1,172076,463491
BR_10,Suburban,55,1611,191500,2,2259,11,110698,594909
BR_11,Urban,39,2622,266150,14,19625,9,118773,513373
BR_12,Rural,16,5662,213795,5,3843,0,101025,414582
BR_13,Rural,34,4977,37038,1,24161,8,145551,448238
BR_14,Urban,9,2544,94491,5,28088,1,107099,304470
BR_15,Urban,38,3056,49602,5,15754,1,45349,490257
BR_16,Urban,26,4842,74471,7,28792,5,71059,436459
BR_17,Urban,43,4467,213222,4,4280,6,171757,640970
BR_18,Suburban,17,1321,43116,13,27531,1,197769,242619
BR_19,Urban,51,5889,288818,0,9796,3,127023,855831
BR_20,Urban,58,2325,287590,14,6567,2,146018,807916
BR_21,Suburban,7,2269,144809,7,11300,4,139742,167551
BR_22,Urban,57,3475,21963,11,28118,8,51009,650265
BR_23,Urban,24,2313,227074,8,26956,1,147686,454234
BR_24,Urban,35,5676,178334,0,3255,4,135138,658391
BR_25,Urban,9,2251,25177,4,28874,7,143871,75196
BR_26,Suburban,28,5454,31160,11,8462,5,44678,404331
BR_27,Urban,44,4230,27543,5,12432,3,61623,683026
BR_28,Suburban,58,3807,59278,3,20042,9,38369,756443
BR_29,Suburban,37,3924,236907,13,29560,7,191591,634298
BR_30,Urban,12,2553,168293,10,21032,2,124028,253504
BR_31,Suburban,28,5755,258913,1,16942,3,132749,564783
BR_32,Urban,54,2412,275980,4,14150,10,67256,694564
BR_33,Urban,24,4075,257031,13,5371,8,103893,336812
BR_34,Rural,20,1355,159402,13,21813,4,116006,257680
BR_35,Rural,54,5051,195225,3,28156,5,109419,760203
BR_36,Rural,56,2849,290755,12,23244,11,157401,694795
BR_37,Urban,16,1624,296016,6,9620,10,117586,149521
BR_38,Urban,17,3649,82714,5,4932,1,154141,289496
BR_39,Suburban,49,3830,144906,2,23470,8,56407,609438
BR_40,Urban,46,1881,20415,8,11778,7,144805,539325
BR_41,Urban,43,4125,96441,13,25033,6,103074,616228
BR_42,Urban,29,1292,131736,3,12304,8,174906,302006
BR_43,Urban,50,5564,90779,14,10119,4,72303,712384
BR_44,Rural,36,874,243628,10,16557,4,132665,527776
BR_45,Urban,28,3791,124448,4,16407,10,64825,334745
BR_46,Suburban,52,4160,292032,13,6983,10,102167,666869
BR_47,Urban,51,1170,196371,2,4521,8,68327,543593
BR_48,Suburban,48,5482,144790,7,21086,10,94830,697571
BR_49,Suburban,13,1128,78765,10,18402,4,67424,114529
BR_50,Urban,44,5485,213786,6,20953,8,136674,638758
BR_51,Rural,54,2590,35935,10,18343,0,108650,717428
BR_52,Suburban,27,1576,21320,10,2783,9,85638,245854
BR_53,Rural,54,2822,97763,14,11898,9,179649,617719
BR_54,Rural,17,5474,58912,6,18798,10,188247,243017
BR_55,Suburban,36,5116,282696,7,10555,7,144309,536050
BR_56,Rural,54,1987,40140,6,12767,2,139952,682730
BR_57,Urban,19,2303,105591,2,3103,7,138670,168298
BR_58,Urban,40,4091,199809,2,23275,4,108949,586790
BR_59,Urban,53,4125,53367,1,7309,1,83587,735242
BR_60,Urban,9,987,231706,12,3171,8,159838,105100
BR_61,Urban,26,2014,44061,0,28274,3,64824,369303
BR_62,Urban,20,4086,129910,4,10634,6,51056,368114
BR_63,Rural,45,4246,120063,11,8408,11,33299,475251
BR_64,Urban,14,1909,83474,3,14135,7,61331,150679
BR_65,Urban,28,3321,180585,14,23129,6,199938,336004
BR_66,Suburban,22,5739,71632,12,22945,10,152611,310314
BR_67,Urban,53,4679,29529,10,28988,5,163921,704957
BR_68,Rural,22,1330,44154,1,26556,11,169843,166896
BR_69,Urban,11,1870,52882,0,15710,6,54604,103551
BR_70,Rural,8,3936,64917,13,8636,3,162107,202471
BR_71,Suburban,30,1762,102488,13,4589,9,98495,323001
BR_72,Urban,9,2205,35701,2,12031,0,28196,145428
BR_73,Urban,59,3937,226353,12,11695,4,75337,834169
BR_74,Rural,20,1316,240943,5,17527,7,61899,217690
BR_75,Suburban,39,3964,88225,12,7722,9,175531,406253
BR_76,Suburban,30,2291,203564,1,15402,5,118270,452650
BR_77,Suburban,22,4489,22988,9,19106,4,101687,307440
BR_78,Urban,33,5028,55919,14,2841,1,192687,505975
BR_79,Urban,27,5209,199498,12,20731,9,164866,428916
BR_80,Urban,57,1390,203239,6,28797,11,49358,667374
BR_81,Rural,18,2343,29013,10,2645,4,58849,284849
BR_82,Suburban,19,3856,154646,6,10215,9,87603,208570
BR_83,Urban,53,3006,249088,10,21656,11,144043,714594
BR_84,Urban,37,4139,27838,2,18390,2,114582,577942
BR_85,Urban,29,3508,51368,13,5701,1,33389,477628
